site,block,warming_treatment,plot_id,species,plant_id,phylo,year,doy,photosyn,gs,ci,soil_water,tleaf,VPG,percent_stomatal_limitation,Agmax,Vcmax25
cfc,d,ambient,d4,aceru,382,angio,2009,223,7.098402649,0.149604027,296.398481,0.237883,33.30074819,2.493739737,0.420798563,12.25549903,28.06674597
cfc,d,ambient,d4,aceru,383,angio,2009,162,7.606666667,0.103,259,0.219318875,27.1,1.846402052,0.37932624,12.25549903,33.98206694
cfc,d,ambient,d4,acesa,387,angio,2011,167,3.19283896,0.035219573,239.926022,0.23391575,19.7973709,1.358647304,0.71260731,11.10967352,15.33928947
cfc,d,ambient,d4,acesa,389,angio,2011,209,5.046666667,0.11,301.3333333,0.250425125,33.24333333,2.457688229,0.545741227,11.10967352,19.6683353
cfc,d,ambient,d4,acesa,390,angio,2009,188,3.387117844,0.039568601,247.3496981,0.1146605,25.76923052,1.701237483,0.695119948,11.10967352,15.8032782
cfc,d,ambient,d4,acesa,394,angio,2011,266,4.158375433,0.131812463,337.3503613,NA,16.53557143,0.830454358,0.625697783,11.10967352,14.72581997
cfc,d,ambient,d4,acesa,395,angio,2009,223,2.416940644,0.035455807,270.9773265,0.237883,33.01159541,2.806144602,0.782447194,11.10967352,10.35574432
cfc,d,ambient,d4,betpa,398,angio,2009,223,14.50876259,0.403142637,304.1653375,0.237883,33.10062536,2.007738664,0.313425998,21.13211766,56.08713937
cfc,d,ambient,d4,betpa,399,angio,2010,165,14.4,0.324333333,300,0.242209875,16.64333333,0.59157067,0.318572789,21.13211766,56.33837016
cfc,d,ambient,d4,betpa,403,angio,2009,162,15.26472934,0.194851404,237.1442774,0.219318875,27.53723844,2.107053858,0.277652643,21.13211766,74.17028553
cfc,d,ambient,d4,betpa,405,angio,2009,187,11.67370923,0.109810932,191.9689646,0.1178825,30.44052188,2.394869894,0.447584505,21.13211766,70.41285255
cfc,d,ambient,d4,betpa,406,angio,2011,237,14.7915826,0.578992167,324.775317,0.257200875,22.65335847,1.175601995,0.300042578,21.13211766,54.06652089
cfc,d,ambient,d4,betpa,407,angio,2010,204,17.06666667,0.473666667,303.3333333,0.156046875,25.75333333,1.562685281,0.192382565,21.13211766,66.13231328
cfc,d,ambient,d4,picgl,415,gymno,2011,236,12.69155353,0.160979077,227.161895,0.2674575,25.51638157,1.409804401,0.216437286,16.19724024,64.32881045
cfc,d,ambient,d4,picgl,418,gymno,2011,210,12.07780017,NA,NA,0.23907675,28.53061293,1.756594278,0.254329751,16.19724024,NA
cfc,d,ambient,d4,pinba,420,gymno,2010,207,20.63333333,0.422,300,0.148187875,32.08,2.318942032,-0.098589662,18.7816562,80.72558132
cfc,d,ambient,d4,pinba,426,gymno,2011,167,13.48103767,0.428275737,334.4283577,0.23391575,16.697059,0.917053349,0.282223169,18.7816562,48.08486189
cfc,d,ambient,d4,pinba,427,gymno,2011,237,10.7521524,0.21230745,206.866978,0.257200875,25.3434054,1.104881374,0.42751841,18.7816562,59.92839928
cfc,d,ambient,d4,pinst,430,gymno,2011,167,14.75285517,0.25133631,292.4290797,0.23391575,15.95131493,0.880770123,-0.119736668,13.17528985,59.02842796
cfc,d,ambient,d4,pinst,432,gymno,2010,207,12.86666667,0.164333333,254.6666667,0.148187875,31.87333333,2.320808411,0.023424395,13.17528985,58.39684714
cfc,d,ambient,d4,pinst,433,gymno,2011,237,5.542907807,0.114988613,244.7141647,0.257200875,25.7297878,1.428503871,0.579295191,13.17528985,26.12778231
cfc,d,ambient,d4,pinst,436,gymno,2011,266,8.490067993,0.10928575,252.8495837,NA,17.9596526,1.052326349,0.355606739,13.17528985,38.79408475
cfc,d,ambient,d4,pinst,440,gymno,2010,236,7.574261327,0.095196318,256.6515819,0.237835125,30.67610423,2.030232454,0.425116152,13.17528985,34.12688749
cfc,d,ambient,d4,poptr,444,angio,2010,168,13.96666667,0.198333333,256.6666667,0.236841625,29.89666667,1.083337565,0.306693141,20.145,62.92529107
cfc,d,ambient,d4,poptr,445,angio,2009,223,17.2753293,0.345259861,277.8319232,0.237883,32.78968938,1.983040319,0.142450767,20.145,72.35663783
cfc,d,ambient,d4,poptr,446,angio,2009,188,11.06883849,0.15159016,235.5500002,0.1146605,23.52825785,1.279454587,0.450541649,20.145,54.13731344
cfc,d,ambient,d4,poptr,447,angio,2010,204,17.33333333,0.535666667,311,0.156046875,25.06333333,1.512037583,0.13957144,20.145,65.73397757
cfc,d,ambient,d4,poptr,449,angio,2009,247,15.6872827,0.242772883,259.4881944,0.219947625,27.45466232,1.632653349,0.221281574,20.145,69.95840722
cfc,d,ambient,d4,poptr,451,angio,2011,165,12.0535522,0.13598449,227.49963,0.184063,28.7811858,1.607554162,0.401660352,20.145,61.00503499
cfc,d,ambient,d4,quema,452,angio,2009,250,12.48054847,0.22397513,280.4426374,0.204750875,26.40092564,1.406063522,0.322633988,18.42511765,51.83486733
cfc,d,ambient,d4,quema,456,angio,2011,237,20.64399793,0.41611563,273.2220013,0.257200875,26.03260107,1.941866272,-0.120426926,18.42511765,87.78886942
cfc,d,ambient,d4,quema,458,angio,2011,165,5.704885467,0.057690383,216.2371247,0.184063,31.05627823,2.628500303,0.690374543,18.42511765,30.38299181
cfc,d,ambient,d4,quema,460,angio,2011,209,18.2320013,0.411356437,281.5726783,0.250425125,31.8053004,2.484927954,0.010481146,18.42511765,75.44878154
cfc,d,ambient,d4,queru,464,angio,2011,167,7.205458487,0.21050779,326.3987603,0.23391575,18.2047157,0.986418265,0.512822666,14.79021701,26.22743196
cfc,d,ambient,d4,queru,465,angio,2009,224,11.35414171,0.266070346,304.8243378,0.230508375,25.59116999,1.174201895,0.232320817,14.79021701,43.80994057
cfc,d,ambient,d4,queru,468,angio,2009,189,4.593333333,0.035366667,171.6666667,0.111568125,29.09666667,2.384648585,0.689434352,14.79021701,31.3565165
cfc,d,ambient,d4,queru,470,angio,2011,237,17.5484668,0.5421055,305.9362947,0.257200875,24.58124797,1.732786997,-0.186491502,14.79021701,67.49768892
cfc,d,ambient,d4,rhaca,471,angio,2010,236,7.866662466,0.215799879,317.4402147,0.237835125,30.26328087,1.584038145,0.498747135,15.694,29.31531916
cfc,d,ambient,d4,queru,472,angio,2010,168,9.92,0.145,262.6666667,0.236841625,32.41,1.644203559,0.32928638,14.79021701,43.7406898
cfc,d,ambient,d4,queru,473,angio,2011,210,13.3,0.229666667,268,0.23907675,30.99666667,2.792341713,0.10075694,14.79021701,57.56591372
cfc,d,ambient,d4,rhaca,475,angio,2011,266,4.55335892,0.169927877,345.5278547,NA,13.6687228,0.91207142,0.70986626,15.694,15.81019057
cfc,d,ambient,d4,rhaca,476,angio,2010,169,9.829016459,0.281573954,320.2255611,0.225446,35.66133753,2.827702411,0.373708649,15.694,36.35758806
cfc,d,ambient,d4,rhaca,477,angio,2011,167,3.83762201,0.235074893,358.845119,0.23391575,20.84878157,1.223374114,0.755472027,15.694,12.92287206
cfc,d,ambient,d4,rhaca,480,angio,2010,204,8.173333333,0.280333333,331,0.156046875,26.25666667,1.871381999,0.479206491,15.694,29.40405249
cfc,d,ambient,d4,rhaca,481,angio,2011,210,7.74,0.215,311.3333333,0.23907675,30.15333333,2.660331833,0.506817892,15.694,29.32578198
cfc,d,ambient,d4,rhaca,482,angio,2009,250,10.96122188,0.356680624,322.0903865,0.204750875,27.88747311,1.43556004,0.301566084,15.694,40.3470247
cfc,d,ambient,d4,rhaca,484,angio,2009,189,7.483333333,0.099133333,256,0.111568125,26.41666667,1.791172556,0.523172338,15.694,33.7976989
